icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,24143,7156,683,183
,All,-2,20962,4260,508,151
,All,-1,19673,3859,607,153
,All,0,27588,8007,2120,1670
PANC,Anchorage International,-3,80,80,10,10
PANC,Anchorage International,-2,89,89,6,6
PANC,Anchorage International,-1,52,52,1,1
PANC,Anchorage International,0,102,102,13,13
KATL,Hartsfield-Jackson Atlanta International,-3,461,461,17,17
KATL,Hartsfield-Jackson Atlanta International,-2,268,268,16,16
KATL,Hartsfield-Jackson Atlanta International,-1,260,260,25,25
KATL,Hartsfield-Jackson Atlanta International,0,581,581,110,110
KBOS,Boston Logan International,-3,264,264,12,12
KBOS,Boston Logan International,-2,159,159,19,19
KBOS,Boston Logan International,-1,177,177,15,15
KBOS,Boston Logan International,0,286,286,76,76
KBWI,Baltimore-Washington International Marshall,-3,151,151,2,2
KBWI,Baltimore-Washington International Marshall,-2,43,43,1,1
KBWI,Baltimore-Washington International Marshall,-1,50,50,2,2
KBWI,Baltimore-Washington International Marshall,0,167,167,99,99
KCLT,Charlotte Douglas International,-3,237,237,2,2
KCLT,Charlotte Douglas International,-2,84,84,4,4
KCLT,Charlotte Douglas International,-1,64,64,1,1
KCLT,Charlotte Douglas International,0,336,336,36,36
KCVG,Cincinnati/Northern Kentucky International,-3,52,52,0,0
KCVG,Cincinnati/Northern Kentucky International,-2,19,19,2,2
KCVG,Cincinnati/Northern Kentucky International,-1,17,17,0,0
KCVG,Cincinnati/Northern Kentucky International,0,62,62,21,21
KDAL,Dallas Love Field,-3,78,78,0,0
KDAL,Dallas Love Field,-2,38,38,0,0
KDAL,Dallas Love Field,-1,10,10,0,0
KDAL,Dallas Love Field,0,82,82,6,6
KDCA,Reagan National,-3,190,190,9,9
KDCA,Reagan National,-2,70,70,0,0
KDCA,Reagan National,-1,39,39,0,0
KDCA,Reagan National,0,222,222,34,34
KDEN,Denver International,-3,393,393,3,3
KDEN,Denver International,-2,189,189,1,1
KDEN,Denver International,-1,223,223,3,3
KDEN,Denver International,0,461,461,31,31
KDFW,Dallas-Fort Worth International,-3,434,434,12,12
KDFW,Dallas-Fort Worth International,-2,233,233,2,2
KDFW,Dallas-Fort Worth International,-1,278,278,3,3
KDFW,Dallas-Fort Worth International,0,378,378,30,30
KDTW,Detroit Metropolitan Wayne County,-3,147,147,4,4
KDTW,Detroit Metropolitan Wayne County,-2,97,97,2,2
KDTW,Detroit Metropolitan Wayne County,-1,97,97,5,5
KDTW,Detroit Metropolitan Wayne County,0,217,217,105,105
KEWR,Newark Liberty International,-3,441,441,3,3
KEWR,Newark Liberty International,-2,152,152,6,6
KEWR,Newark Liberty International,-1,154,154,1,1
KEWR,Newark Liberty International,0,321,321,249,249
KFLL,Fort Lauderdale-Hollywood International,-3,325,325,5,5
KFLL,Fort Lauderdale-Hollywood International,-2,171,171,15,15
KFLL,Fort Lauderdale-Hollywood International,-1,157,157,9,9
KFLL,Fort Lauderdale-Hollywood International,0,430,430,74,74
PHNL,Honolulu International,-3,140,140,3,3
PHNL,Honolulu International,-2,82,82,3,3
PHNL,Honolulu International,-1,62,62,5,5
PHNL,Honolulu International,0,83,83,3,3
KHOU,Houston Hobby,-3,69,69,1,1
