icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
KPDX,Portland International,-2,84,84,7,7
KPDX,Portland International,-1,64,64,3,3
KPDX,Portland International,0,89,89,4,4
KPHL,Philadelphia International,-3,470,470,80,80
KPHL,Philadelphia International,-2,221,221,2,2
KPHL,Philadelphia International,-1,90,90,4,4
KPHL,Philadelphia International,0,72,72,2,2
KPHX,Phoenix Sky Harbor International,-3,385,385,7,7
KPHX,Phoenix Sky Harbor International,-2,170,170,0,0
KPHX,Phoenix Sky Harbor International,-1,85,85,0,0
KPHX,Phoenix Sky Harbor International,0,164,164,4,4
KSAN,San Diego International,-3,267,267,17,17
KSAN,San Diego International,-2,133,133,10,10
KSAN,San Diego International,-1,85,85,7,7
KSAN,San Diego International,0,168,168,11,11
KSDF,Louisville International,-3,59,59,13,13
KSDF,Louisville International,-2,41,41,2,2
KSDF,Louisville International,-1,11,11,0,0
KSDF,Louisville International,0,11,11,0,0
KSEA,Seattle-Tacoma International,-3,260,260,26,26
KSEA,Seattle-Tacoma International,-2,339,339,16,16
KSEA,Seattle-Tacoma International,-1,273,273,10,10
KSEA,Seattle-Tacoma International,0,191,191,13,13
KSFO,San Francisco International,-3,308,308,14,14
KSFO,San Francisco International,-2,213,213,5,5
KSFO,San Francisco International,-1,144,144,6,6
KSFO,San Francisco International,0,203,203,7,7
KSLC,Salt Lake City International,-3,124,124,10,10
KSLC,Salt Lake City International,-2,68,68,1,1
KSLC,Salt Lake City International,-1,37,37,0,0
KSLC,Salt Lake City International,0,119,119,10,10
KTEB,Teterboro,-3,0,0,0,0
KTEB,Teterboro,-2,0,0,0,0
KTEB,Teterboro,-1,0,0,0,0
KTEB,Teterboro,0,0,0,0,0
KTPA,Tampa International,-3,199,199,10,10
KTPA,Tampa International,-2,95,95,4,4
KTPA,Tampa International,-1,36,36,3,3
KTPA,Tampa International,0,61,61,0,0
