name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Anchorage International,PANC,-3,101,101,6,6
Anchorage International,PANC,-2,110,110,10,10
Anchorage International,PANC,-1,92,92,7,7
Anchorage International,PANC,0,16,16,4,4
Hartsfield-Jackson Atlanta International,KATL,-3,434,434,13,13
Hartsfield-Jackson Atlanta International,KATL,-2,604,604,43,43
Hartsfield-Jackson Atlanta International,KATL,-1,584,584,46,46
Hartsfield-Jackson Atlanta International,KATL,0,30,30,14,14
Boston Logan International,KBOS,-3,279,279,5,5
Boston Logan International,KBOS,-2,487,487,122,122
Boston Logan International,KBOS,-1,252,252,9,9
Boston Logan International,KBOS,0,20,20,6,6
Baltimore-Washington International Marshall,KBWI,-3,142,142,2,2
Baltimore-Washington International Marshall,KBWI,-2,261,261,5,5
Baltimore-Washington International Marshall,KBWI,-1,155,155,8,8
Baltimore-Washington International Marshall,KBWI,0,9,9,4,4
Charlotte Douglas International,KCLT,-3,421,421,2,2
Charlotte Douglas International,KCLT,-2,454,454,22,22
Charlotte Douglas International,KCLT,-1,268,268,14,14
Charlotte Douglas International,KCLT,0,5,5,1,1
Cincinnati/Northern Kentucky International,KCVG,-3,99,99,0,0
Cincinnati/Northern Kentucky International,KCVG,-2,123,123,3,3
Cincinnati/Northern Kentucky International,KCVG,-1,53,53,2,2
Cincinnati/Northern Kentucky International,KCVG,0,2,2,2,2
Dallas Love Field,KDAL,-3,86,86,0,0
Dallas Love Field,KDAL,-2,178,178,7,7
Dallas Love Field,KDAL,-1,122,122,4,4
Dallas Love Field,KDAL,0,9,9,0,0
Reagan National,KDCA,-3,221,221,1,1
Reagan National,KDCA,-2,323,323,29,29
Reagan National,KDCA,-1,174,174,18,18
Reagan National,KDCA,0,7,7,1,1
Denver International,KDEN,-3,454,454,17,17
Denver International,KDEN,-2,1359,1359,104,104
Denver International,KDEN,-1,614,614,13,13
Denver International,KDEN,0,26,26,1,1
Dallas-Fort Worth International,KDFW,-3,643,643,13,13
Dallas-Fort Worth International,KDFW,-2,688,688,26,26
Dallas-Fort Worth International,KDFW,-1,581,581,23,23
Dallas-Fort Worth International,KDFW,0,31,31,9,9
Detroit Metropolitan Wayne County,KDTW,-3,189,189,7,7
Detroit Metropolitan Wayne County,KDTW,-2,437,437,24,24
Detroit Metropolitan Wayne County,KDTW,-1,210,210,4,4
Detroit Metropolitan Wayne County,KDTW,0,5,5,2,2
Newark Liberty International,KEWR,-3,367,367,5,5
Newark Liberty International,KEWR,-2,513,513,35,35
Newark Liberty International,KEWR,-1,259,259,20,20
Newark Liberty International,KEWR,0,13,13,1,1
Fort Lauderdale-Hollywood International,KFLL,-3,293,293,1,1
