icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,22926,3069,1597,166
,All,-2,25172,4854,763,99
,All,-1,23139,3714,917,91
,All,0,3388,254,237,22
PANC,Anchorage International,-3,89,89,11,11
PANC,Anchorage International,-2,96,96,12,12
PANC,Anchorage International,-1,73,73,16,16
PANC,Anchorage International,0,9,9,2,2
KATL,Hartsfield-Jackson Atlanta International,-3,147,147,9,9
KATL,Hartsfield-Jackson Atlanta International,-2,236,236,10,10
KATL,Hartsfield-Jackson Atlanta International,-1,250,250,4,4
KATL,Hartsfield-Jackson Atlanta International,0,17,17,4,4
KBOS,Boston Logan International,-3,157,157,33,33
KBOS,Boston Logan International,-2,109,109,0,0
KBOS,Boston Logan International,-1,105,105,4,4
KBOS,Boston Logan International,0,3,3,0,0
KBWI,Baltimore-Washington International Marshall,-3,38,38,0,0
KBWI,Baltimore-Washington International Marshall,-2,46,46,0,0
KBWI,Baltimore-Washington International Marshall,-1,35,35,0,0
KBWI,Baltimore-Washington International Marshall,0,2,2,0,0
KCLT,Charlotte Douglas International,-3,84,84,5,5
KCLT,Charlotte Douglas International,-2,120,120,1,1
KCLT,Charlotte Douglas International,-1,180,180,0,0
KCLT,Charlotte Douglas International,0,1,1,0,0
KCVG,Cincinnati/Northern Kentucky International,-3,14,14,3,3
KCVG,Cincinnati/Northern Kentucky International,-2,24,24,0,0
KCVG,Cincinnati/Northern Kentucky International,-1,13,13,0,0
KCVG,Cincinnati/Northern Kentucky International,0,0,0,0,0
KDAL,Dallas Love Field,-3,22,22,0,0
KDAL,Dallas Love Field,-2,65,65,1,1
KDAL,Dallas Love Field,-1,68,68,0,0
KDAL,Dallas Love Field,0,6,6,0,0
KDCA,Reagan National,-3,79,79,1,1
KDCA,Reagan National,-2,99,99,1,1
KDCA,Reagan National,-1,156,156,2,2
KDCA,Reagan National,0,2,2,1,1
KDEN,Denver International,-3,119,119,6,6
KDEN,Denver International,-2,791,791,5,5
KDEN,Denver International,-1,257,257,4,4
KDEN,Denver International,0,5,5,0,0
KDFW,Dallas-Fort Worth International,-3,224,224,5,5
