icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,30358,9385,2190,1711
,All,-2,32668,11010,1638,1062
,All,-1,30745,10251,1554,843
,All,0,8056,764,485,278
PANC,Anchorage International,-3,142,142,14,14
PANC,Anchorage International,-2,100,100,17,17
PANC,Anchorage International,-1,75,75,18,18
PANC,Anchorage International,0,18,18,1,1
KATL,Hartsfield-Jackson Atlanta International,-3,645,645,111,111
KATL,Hartsfield-Jackson Atlanta International,-2,775,775,112,112
KATL,Hartsfield-Jackson Atlanta International,-1,676,676,171,171
KATL,Hartsfield-Jackson Atlanta International,0,43,43,41,41
KBOS,Boston Logan International,-3,392,392,80,80
KBOS,Boston Logan International,-2,491,491,73,73
KBOS,Boston Logan International,-1,328,328,44,44
KBOS,Boston Logan International,0,23,23,16,16
KBWI,Baltimore-Washington International Marshall,-3,197,197,99,99
KBWI,Baltimore-Washington International Marshall,-2,282,282,25,25
KBWI,Baltimore-Washington International Marshall,-1,230,230,11,11
KBWI,Baltimore-Washington International Marshall,0,19,19,18,18
KCLT,Charlotte Douglas International,-3,387,387,36,36
KCLT,Charlotte Douglas International,-2,454,454,28,28
KCLT,Charlotte Douglas International,-1,507,507,14,14
KCLT,Charlotte Douglas International,0,5,5,8,8
KCVG,Cincinnati/Northern Kentucky International,-3,78,78,21,21
KCVG,Cincinnati/Northern Kentucky International,-2,88,88,3,3
KCVG,Cincinnati/Northern Kentucky International,-1,86,86,10,10
KCVG,Cincinnati/Northern Kentucky International,0,9,9,3,3
KDAL,Dallas Love Field,-3,100,100,6,6
KDAL,Dallas Love Field,-2,196,196,4,4
KDAL,Dallas Love Field,-1,147,147,2,2
KDAL,Dallas Love Field,0,11,11,3,3
KDCA,Reagan National,-3,244,244,36,36
KDCA,Reagan National,-2,233,233,10,10
KDCA,Reagan National,-1,215,215,21,21
KDCA,Reagan National,0,10,10,13,13
KDEN,Denver International,-3,546,546,32,32
KDEN,Denver International,-2,798,798,40,40
KDEN,Denver International,-1,842,842,15,15
KDEN,Denver International,0,37,37,5,5
KDFW,Dallas-Fort Worth International,-3,439,439,30,30
KDFW,Dallas-Fort Worth International,-2,557,557,26,26
KDFW,Dallas-Fort Worth International,-1,697,697,32,32
KDFW,Dallas-Fort Worth International,0,31,31,9,9
KDTW,Detroit Metropolitan Wayne County,-3,243,243,106,106
KDTW,Detroit Metropolitan Wayne County,-2,329,329,29,29
KDTW,Detroit Metropolitan Wayne County,-1,285,285,50,50
KDTW,Detroit Metropolitan Wayne County,0,14,14,19,19
KEWR,Newark Liberty International,-3,392,392,249,249
KEWR,Newark Liberty International,-2,519,519,115,115
