icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,22546,7369,665,202
,All,-2,24817,7017,1526,1025
,All,-1,21094,7546,1944,1566
,All,0,25076,10214,3366,2851
PANC,Anchorage International,-3,123,123,4,4
PANC,Anchorage International,-2,97,97,7,7
PANC,Anchorage International,-1,54,54,4,4
PANC,Anchorage International,0,37,37,7,7
KATL,Hartsfield-Jackson Atlanta International,-3,366,366,12,12
KATL,Hartsfield-Jackson Atlanta International,-2,522,522,87,87
KATL,Hartsfield-Jackson Atlanta International,-1,683,683,370,370
KATL,Hartsfield-Jackson Atlanta International,0,864,864,450,450
KBOS,Boston Logan International,-3,535,535,48,48
KBOS,Boston Logan International,-2,241,241,43,43
KBOS,Boston Logan International,-1,239,239,47,47
KBOS,Boston Logan International,0,396,396,102,102
KBWI,Baltimore-Washington International Marshall,-3,146,146,3,3
KBWI,Baltimore-Washington International Marshall,-2,132,132,22,22
KBWI,Baltimore-Washington International Marshall,-1,145,145,41,41
KBWI,Baltimore-Washington International Marshall,0,266,266,34,34
KCLT,Charlotte Douglas International,-3,351,351,0,0
KCLT,Charlotte Douglas International,-2,286,286,41,41
KCLT,Charlotte Douglas International,-1,550,550,150,150
KCLT,Charlotte Douglas International,0,429,429,117,117
KCVG,Cincinnati/Northern Kentucky International,-3,72,72,2,2
KCVG,Cincinnati/Northern Kentucky International,-2,69,69,18,18
KCVG,Cincinnati/Northern Kentucky International,-1,65,65,13,13
KCVG,Cincinnati/Northern Kentucky International,0,106,106,42,42
KDAL,Dallas Love Field,-3,144,144,5,5
KDAL,Dallas Love Field,-2,128,128,18,18
KDAL,Dallas Love Field,-1,72,72,15,15
KDAL,Dallas Love Field,0,200,200,20,20
KDCA,Reagan National,-3,562,562,39,39
KDCA,Reagan National,-2,386,386,159,159
KDCA,Reagan National,-1,259,259,77,77
KDCA,Reagan National,0,347,347,131,131
KDEN,Denver International,-3,376,376,4,4
KDEN,Denver International,-2,353,353,75,75
KDEN,Denver International,-1,327,327,64,64
KDEN,Denver International,0,453,453,81,81
KDFW,Dallas-Fort Worth International,-3,435,435,3,3
