icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,0,20609,6799,780,248
PANC,Anchorage International,-3,87,87,3,3
PANC,Anchorage International,-2,77,77,3,3
PANC,Anchorage International,-1,102,102,12,12
PANC,Anchorage International,0,47,47,8,8
KATL,Hartsfield-Jackson Atlanta International,-3,545,545,41,41
KATL,Hartsfield-Jackson Atlanta International,-2,1010,1010,41,41
KATL,Hartsfield-Jackson Atlanta International,-1,825,825,36,36
KATL,Hartsfield-Jackson Atlanta International,0,484,484,14,14
KBOS,Boston Logan International,-3,242,242,34,34
KBOS,Boston Logan International,-2,495,495,68,68
KBOS,Boston Logan International,-1,293,293,8,8
KBOS,Boston Logan International,0,284,284,25,25
KBWI,Baltimore-Washington International Marshall,-3,204,204,23,23
KBWI,Baltimore-Washington International Marshall,-2,332,332,8,8
KBWI,Baltimore-Washington International Marshall,-1,175,175,0,0
KBWI,Baltimore-Washington International Marshall,0,135,135,4,4
KCLT,Charlotte Douglas International,-3,292,292,52,52
KCLT,Charlotte Douglas International,-2,626,626,16,16
KCLT,Charlotte Douglas International,-1,444,444,2,2
KCLT,Charlotte Douglas International,0,401,401,6,6
KCVG,Cincinnati/Northern Kentucky International,-3,86,86,19,19
KCVG,Cincinnati/Northern Kentucky International,-2,141,141,10,10
KCVG,Cincinnati/Northern Kentucky International,-1,116,116,8,8
KCVG,Cincinnati/Northern Kentucky International,0,107,107,0,0
KDAL,Dallas Love Field,-3,163,163,10,10
KDAL,Dallas Love Field,-2,209,209,1,1
KDAL,Dallas Love Field,-1,156,156,4,4
KDAL,Dallas Love Field,0,64,64,0,0
KDCA,Reagan National,-3,188,188,41,41
KDCA,Reagan National,-2,494,494,22,22
KDCA,Reagan National,-1,353,353,8,8
KDCA,Reagan National,0,446,446,15,15
KDEN,Denver International,-3,671,671,46,46
KDEN,Denver International,-2,929,929,23,23
KDEN,Denver International,-1,591,591,7,7
KDEN,Denver International,0,245,245,3,3
KDFW,Dallas-Fort Worth International,-3,1061,1061,86,86
KDFW,Dallas-Fort Worth International,-2,913,913,21,21
KDFW,Dallas-Fort Worth International,-1,861,861,30,30
KDFW,Dallas-Fort Worth International,0,429,429,6,6
KDTW,Detroit Metropolitan Wayne County,-3,384,384,66,66
KDTW,Detroit Metropolitan Wayne County,-2,507,507,73,73
KDTW,Detroit Metropolitan Wayne County,-1,385,385,34,34
