icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,20936,4993,2860,2471
,All,-2,24579,6516,1932,1503
,All,-1,23426,5395,753,296
,All,0,6285,703,153,31
PANC,Anchorage International,-3,71,71,5,5
PANC,Anchorage International,-2,68,68,5,5
PANC,Anchorage International,-1,54,54,10,10
PANC,Anchorage International,0,8,8,7,7
KATL,Hartsfield-Jackson Atlanta International,-3,480,480,627,627
KATL,Hartsfield-Jackson Atlanta International,-2,599,599,112,112
KATL,Hartsfield-Jackson Atlanta International,-1,316,316,19,19
KATL,Hartsfield-Jackson Atlanta International,0,13,13,1,1
KBOS,Boston Logan International,-3,154,154,48,48
KBOS,Boston Logan International,-2,208,208,50,50
KBOS,Boston Logan International,-1,156,156,2,2
KBOS,Boston Logan International,0,12,12,1,1
KBWI,Baltimore-Washington International Marshall,-3,62,62,54,54
KBWI,Baltimore-Washington International Marshall,-2,107,107,26,26
KBWI,Baltimore-Washington International Marshall,-1,131,131,3,3
KBWI,Baltimore-Washington International Marshall,0,28,28,1,1
KCLT,Charlotte Douglas International,-3,77,77,1090,1090
KCLT,Charlotte Douglas International,-2,350,350,859,859
KCLT,Charlotte Douglas International,-1,537,537,106,106
KCLT,Charlotte Douglas International,0,13,13,5,5
KCVG,Cincinnati/Northern Kentucky International,-3,55,55,18,18
KCVG,Cincinnati/Northern Kentucky International,-2,70,70,13,13
KCVG,Cincinnati/Northern Kentucky International,-1,67,67,0,0
KCVG,Cincinnati/Northern Kentucky International,0,1,1,0,0
KDAL,Dallas Love Field,-3,42,42,13,13
KDAL,Dallas Love Field,-2,100,100,3,3
KDAL,Dallas Love Field,-1,25,25,0,0
KDAL,Dallas Love Field,0,27,27,0,0
KDCA,Reagan National,-3,187,187,92,92
KDCA,Reagan National,-2,432,432,64,64
KDCA,Reagan National,-1,267,267,36,36
KDCA,Reagan National,0,13,13,2,2
KDEN,Denver International,-3,199,199,40,40
KDEN,Denver International,-2,235,235,12,12
KDEN,Denver International,-1,198,198,3,3
KDEN,Denver International,0,63,63,0,0
KDFW,Dallas-Fort Worth International,-3,420,420,74,74
KDFW,Dallas-Fort Worth International,-2,478,478,49,49
KDFW,Dallas-Fort Worth International,-1,397,397,22,22
KDFW,Dallas-Fort Worth International,0,7,7,3,3
KDTW,Detroit Metropolitan Wayne County,-3,187,187,50,50
KDTW,Detroit Metropolitan Wayne County,-2,186,186,29,29
KDTW,Detroit Metropolitan Wayne County,-1,358,358,23,23
KDTW,Detroit Metropolitan Wayne County,0,5,5,4,4
KEWR,Newark Liberty International,-3,171,171,57,57
KEWR,Newark Liberty International,-2,223,223,56,56
KEWR,Newark Liberty International,-1,185,185,7,7
KEWR,Newark Liberty International,0,8,8,2,2
KFLL,Fort Lauderdale-Hollywood International,-3,228,228,47,47
KFLL,Fort Lauderdale-Hollywood International,-2,317,317,53,53
KFLL,Fort Lauderdale-Hollywood International,-1,206,206,15,15
KFLL,Fort Lauderdale-Hollywood International,0,6,6,0,0
PHNL,Honolulu International,-3,67,67,1,1
PHNL,Honolulu International,-2,111,111,5,5
PHNL,Honolulu International,-1,110,110,1,1
PHNL,Honolulu International,0,29,29,0,0
KHOU,Houston Hobby,-3,34,34,4,4
KHOU,Houston Hobby,-2,43,43,0,0
KHOU,Houston Hobby,-1,38,38,2,2
KHOU,Houston Hobby,0,37,37,0,0
KIAD,Washington Dulles International,-3,104,104,53,53
KIAD,Washington Dulles International,-2,147,147,19,19
KIAD,Washington Dulles International,-1,104,104,1,1
KIAD,Washington Dulles International,0,7,7,0,0
KIAH,George Bush Houston Intercontinental,-3,153,153,37,37
KIAH,George Bush Houston Intercontinental,-2,169,169,18,18
KIAH,George Bush Houston Intercontinental,-1,115,115,1,1
KIAH,George Bush Houston Intercontinental,0,4,4,0,0
KIND,Indianapolis International,-3,65,65,16,16
KIND,Indianapolis International,-2,80,80,10,10
