icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,20803,4259,508,151
,All,-2,19673,3859,607,153
,All,-1,30356,9384,2190,1711
,All,0,27689,8104,1422,963
PANC,Anchorage International,-3,89,89,6,6
PANC,Anchorage International,-2,52,52,1,1
PANC,Anchorage International,-1,142,142,14,14
PANC,Anchorage International,0,64,64,14,14
KATL,Hartsfield-Jackson Atlanta International,-3,268,268,16,16
KATL,Hartsfield-Jackson Atlanta International,-2,260,260,25,25
KATL,Hartsfield-Jackson Atlanta International,-1,645,645,111,111
KATL,Hartsfield-Jackson Atlanta International,0,571,571,100,100
KBOS,Boston Logan International,-3,159,159,19,19
KBOS,Boston Logan International,-2,177,177,15,15
KBOS,Boston Logan International,-1,392,392,80,80
KBOS,Boston Logan International,0,403,403,63,63
KCLT,Charlotte Douglas International,-3,84,84,4,4
KCLT,Charlotte Douglas International,-2,64,64,1,1
KCLT,Charlotte Douglas International,-1,387,387,36,36
KCLT,Charlotte Douglas International,0,360,360,28,28
KCVG,Cincinnati/Northern Kentucky International,-3,19,19,2,2
KCVG,Cincinnati/Northern Kentucky International,-2,17,17,0,0
KCVG,Cincinnati/Northern Kentucky International,-1,78,78,21,21
KCVG,Cincinnati/Northern Kentucky International,0,65,65,3,3
KDAL,Dallas Love Field,-3,38,38,0,0
KDAL,Dallas Love Field,-2,10,10,0,0
KDAL,Dallas Love Field,-1,100,100,6,6
KDAL,Dallas Love Field,0,142,142,4,4
KDCA,Reagan National,-3,70,70,0,0
KDCA,Reagan National,-2,39,39,0,0
KDCA,Reagan National,-1,244,244,36,36
KDCA,Reagan National,0,194,194,10,10
KDEN,Denver International,-3,189,189,1,1
KDEN,Denver International,-2,223,223,3,3
KDEN,Denver International,-1,546,546,32,32
KDEN,Denver International,0,487,487,35,35
KDFW,Dallas-Fort Worth International,-3,232,232,2,2
KDFW,Dallas-Fort Worth International,-2,278,278,3,3
KDFW,Dallas-Fort Worth International,-1,439,439,30,30
KDFW,Dallas-Fort Worth International,0,402,402,23,23
KDTW,Detroit Metropolitan Wayne County,-3,97,97,2,2
KDTW,Detroit Metropolitan Wayne County,-2,97,97,5,5
KDTW,Detroit Metropolitan Wayne County,-1,243,243,106,106
KDTW,Detroit Metropolitan Wayne County,0,234,234,24,24
KEWR,Newark Liberty International,-3,152,152,6,6
KEWR,Newark Liberty International,-2,154,154,1,1
KEWR,Newark Liberty International,-1,392,392,249,249
KEWR,Newark Liberty International,0,396,396,112,112
KFLL,Fort Lauderdale-Hollywood International,-3,171,171,15,15
KFLL,Fort Lauderdale-Hollywood International,-2,157,157,9,9
KFLL,Fort Lauderdale-Hollywood International,-1,478,478,75,75
KFLL,Fort Lauderdale-Hollywood International,0,445,445,68,68
PHNL,Honolulu International,-3,82,82,3,3
PHNL,Honolulu International,-2,62,62,5,5
PHNL,Honolulu International,-1,121,121,4,4
PHNL,Honolulu International,0,93,93,1,1
KHOU,Houston Hobby,-3,33,33,0,0
KHOU,Houston Hobby,-2,18,18,0,0
KHOU,Houston Hobby,-1,80,80,8,8
KHOU,Houston Hobby,0,95,95,6,6
KIAD,Washington Dulles International,-3,94,94,0,0
KIAD,Washington Dulles International,-2,86,86,3,3
KIAD,Washington Dulles International,-1,239,239,28,28
KIAD,Washington Dulles International,0,186,186,29,29
KIAH,George Bush Houston Intercontinental,-3,166,166,5,5
KIAH,George Bush Houston Intercontinental,-2,155,155,2,2
KIAH,George Bush Houston Intercontinental,-1,214,214,20,20
KIAH,George Bush Houston Intercontinental,0,209,209,13,13
KIND,Indianapolis International,-3,20,20,0,0
KIND,Indianapolis International,-2,15,15,1,1
KIND,Indianapolis International,-1,81,81,16,16
KIND,Indianapolis International,0,78,78,10,10
KJFK,John F. Kennedy International,-3,168,168,10,10
KJFK,John F. Kennedy International,-2,194,194,17,17
KJFK,John F. Kennedy International,-1,334,334,392,392
KJFK,John F. Kennedy International,0,443,443,199,199
KLAS,Las Vegas Reid International,-3,253,253,7,7
KLAS,Las Vegas Reid International,-2,153,153,6,6
KLAS,Las Vegas Reid International,-1,332,332,33,33
KLAS,Las Vegas Reid International,0,193,193,10,10
KLAX,Los Angeles International,-3,478,478,7,7
KLAX,Los Angeles International,-2,355,355,18,18
KLAX,Los Angeles International,-1,642,642,53,53
KLAX,Los Angeles International,0,369,369,23,23
KLGA,LaGuardia Airport,-3,57,57,6,6
KLGA,LaGuardia Airport,-2,58,58,2,2
KLGA,LaGuardia Airport,-1,216,216,250,250
KLGA,LaGuardia Airport,0,320,320,107,107
KMCO,Orlando International,-3,126,126,8,8
KMCO,Orlando International,-2,163,163,4,4
KMCO,Orlando International,-1,666,666,69,69
KMCO,Orlando International,0,665,665,61,61
KMDW,Chicago Midway,-3,31,31,1,1
KMDW,Chicago Midway,-2,65,65,1,1
KMDW,Chicago Midway,-1,158,158,10,10
KMDW,Chicago Midway,0,133,133,4,4
KMEM,Memphis International,-3,12,12,1,1
KMEM,Memphis International,-2,12,12,0,0
KMEM,Memphis International,-1,33,33,11,11
KMEM,Memphis International,0,31,31,4,4
KMIA,Miami International,-3,123,123,6,6
KMIA,Miami International,-2,130,130,0,0
KMIA,Miami International,-1,426,426,45,45
KMIA,Miami International,0,413,413,47,47
KMSP,Minneapolis/St. Paul International,-3,73,73,3,3
KMSP,Minneapolis/St. Paul International,-2,118,118,9,9
KMSP,Minneapolis/St. Paul International,-1,299,299,33,33
KMSP,Minneapolis/St. Paul International,0,283,283,31,31
KOAK,Oakland International,-3,65,65,5,5
KOAK,Oakland International,-2,28,28,0,0
KOAK,Oakland International,-1,85,85,0,0
KOAK,Oakland International,0,52,52,1,1
KONT,Ontario International,-3,43,43,1,1
KONT,Ontario International,-2,23,23,2,2
