icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,22310,6157,12610,11619
,All,-2,24238,8257,7074,6288
,All,-1,23056,6118,3261,2690
,All,0,9267,683,1031,753
PANC,Anchorage International,-3,62,62,8,8
PANC,Anchorage International,-2,113,113,12,12
PANC,Anchorage International,-1,106,106,20,20
PANC,Anchorage International,0,18,18,4,4
KATL,Hartsfield-Jackson Atlanta International,-3,575,575,1199,1199
KATL,Hartsfield-Jackson Atlanta International,-2,874,874,298,298
KATL,Hartsfield-Jackson Atlanta International,-1,509,509,94,94
KATL,Hartsfield-Jackson Atlanta International,0,22,22,14,14
KBOS,Boston Logan International,-3,59,59,751,751
KBOS,Boston Logan International,-2,288,288,630,630
KBOS,Boston Logan International,-1,366,366,220,220
KBOS,Boston Logan International,0,18,18,33,33
KBWI,Baltimore-Washington International Marshall,-3,35,35,459,459
KBWI,Baltimore-Washington International Marshall,-2,202,202,119,119
KBWI,Baltimore-Washington International Marshall,-1,107,107,13,13
KBWI,Baltimore-Washington International Marshall,0,14,14,4,4
KCLT,Charlotte Douglas International,-3,149,149,1168,1168
KCLT,Charlotte Douglas International,-2,455,455,706,706
KCLT,Charlotte Douglas International,-1,364,364,396,396
KCLT,Charlotte Douglas International,0,18,18,117,117
KCVG,Cincinnati/Northern Kentucky International,-3,53,53,181,181
KCVG,Cincinnati/Northern Kentucky International,-2,93,93,77,77
KCVG,Cincinnati/Northern Kentucky International,-1,73,73,37,37
KCVG,Cincinnati/Northern Kentucky International,0,5,5,10,10
KDAL,Dallas Love Field,-3,83,83,261,261
KDAL,Dallas Love Field,-2,217,217,86,86
KDAL,Dallas Love Field,-1,150,150,3,3
KDAL,Dallas Love Field,0,11,11,0,0
KDCA,Reagan National,-3,21,21,841,841
KDCA,Reagan National,-2,219,219,642,642
KDCA,Reagan National,-1,320,320,343,343
KDCA,Reagan National,0,18,18,123,123
KDEN,Denver International,-3,733,733,312,312
KDEN,Denver International,-2,371,371,115,115
KDEN,Denver International,-1,200,200,30,30
KDEN,Denver International,0,24,24,8,8
KDFW,Dallas-Fort Worth International,-3,511,511,1320,1320
KDFW,Dallas-Fort Worth International,-2,529,529,1168,1168
KDFW,Dallas-Fort Worth International,-1,585,585,642,642
KDFW,Dallas-Fort Worth International,0,35,35,196,196
KDTW,Detroit Metropolitan Wayne County,-3,395,395,291,291
KDTW,Detroit Metropolitan Wayne County,-2,415,415,138,138
KDTW,Detroit Metropolitan Wayne County,-1,335,335,83,83
KDTW,Detroit Metropolitan Wayne County,0,15,15,17,17
KEWR,Newark Liberty International,-3,42,42,917,917
KEWR,Newark Liberty International,-2,398,398,518,518
KEWR,Newark Liberty International,-1,271,271,86,86
KEWR,Newark Liberty International,0,21,21,26,26
KFLL,Fort Lauderdale-Hollywood International,-3,197,197,317,317
KFLL,Fort Lauderdale-Hollywood International,-2,313,313,137,137
KFLL,Fort Lauderdale-Hollywood International,-1,158,158,41,41
KFLL,Fort Lauderdale-Hollywood International,0,6,6,8,8
PHNL,Honolulu International,-3,55,55,19,19
PHNL,Honolulu International,-2,83,83,20,20
PHNL,Honolulu International,-1,63,63,6,6
PHNL,Honolulu International,0,33,33,0,0
KHOU,Houston Hobby,-3,83,83,92,92
KHOU,Houston Hobby,-2,90,90,31,31
KHOU,Houston Hobby,-1,56,56,3,3
KHOU,Houston Hobby,0,14,14,1,1
KIAD,Washington Dulles International,-3,18,18,571,571
KIAD,Washington Dulles International,-2,276,276,219,219
KIAD,Washington Dulles International,-1,234,234,31,31
KIAD,Washington Dulles International,0,12,12,1,1
KIAH,George Bush Houston Intercontinental,-3,268,268,472,472
KIAH,George Bush Houston Intercontinental,-2,387,387,131,131
