name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Anchorage International,PANC,-3,126,126,8,8
Anchorage International,PANC,-2,114,114,7,7
Anchorage International,PANC,-1,88,88,9,9
Anchorage International,PANC,0,45,45,3,3
Hartsfield-Jackson Atlanta International,KATL,-3,457,457,5,5
Hartsfield-Jackson Atlanta International,KATL,-2,644,644,40,40
Hartsfield-Jackson Atlanta International,KATL,-1,404,404,16,16
Hartsfield-Jackson Atlanta International,KATL,0,1436,1436,178,178
Boston Logan International,KBOS,-3,297,297,5,5
Boston Logan International,KBOS,-2,347,347,12,12
Boston Logan International,KBOS,-1,152,152,6,6
Boston Logan International,KBOS,0,258,258,5,5
Baltimore-Washington International Marshall,KBWI,-3,133,133,1,1
Baltimore-Washington International Marshall,KBWI,-2,261,261,1,1
Baltimore-Washington International Marshall,KBWI,-1,88,88,0,0
Baltimore-Washington International Marshall,KBWI,0,143,143,2,2
Charlotte Douglas International,KCLT,-3,288,288,2,2
Charlotte Douglas International,KCLT,-2,376,376,22,22
Charlotte Douglas International,KCLT,-1,418,418,28,28
Charlotte Douglas International,KCLT,0,716,716,45,45
Cincinnati/Northern Kentucky International,KCVG,-3,82,82,1,1
Cincinnati/Northern Kentucky International,KCVG,-2,76,76,7,7
Cincinnati/Northern Kentucky International,KCVG,-1,42,42,0,0
Cincinnati/Northern Kentucky International,KCVG,0,86,86,17,17
Dallas Love Field,KDAL,-3,123,123,0,0
Dallas Love Field,KDAL,-2,107,107,0,0
Dallas Love Field,KDAL,-1,52,52,0,0
Dallas Love Field,KDAL,0,97,97,2,2
Reagan National,KDCA,-3,361,361,2,2
Reagan National,KDCA,-2,522,522,132,132
Reagan National,KDCA,-1,180,180,31,31
Reagan National,KDCA,0,324,324,32,32
Denver International,KDEN,-3,405,405,2,2
Denver International,KDEN,-2,292,292,5,5
Denver International,KDEN,-1,286,286,7,7
Denver International,KDEN,0,300,300,3,3
Dallas-Fort Worth International,KDFW,-3,624,624,4,4
Dallas-Fort Worth International,KDFW,-2,467,467,16,16
Dallas-Fort Worth International,KDFW,-1,630,630,11,11
Dallas-Fort Worth International,KDFW,0,641,641,9,9
Detroit Metropolitan Wayne County,KDTW,-3,267,267,1,1
Detroit Metropolitan Wayne County,KDTW,-2,422,422,88,88
Detroit Metropolitan Wayne County,KDTW,-1,167,167,4,4
Detroit Metropolitan Wayne County,KDTW,0,467,467,19,19
Newark Liberty International,KEWR,-3,335,335,6,6
Newark Liberty International,KEWR,-2,297,297,6,6
Newark Liberty International,KEWR,-1,198,198,1,1
Newark Liberty International,KEWR,0,253,253,8,8
Fort Lauderdale-Hollywood International,KFLL,-3,189,189,0,0
Fort Lauderdale-Hollywood International,KFLL,-2,232,232,6,6
Fort Lauderdale-Hollywood International,KFLL,-1,217,217,1,1
Fort Lauderdale-Hollywood International,KFLL,0,302,302,4,4
Honolulu International,PHNL,-3,88,88,2,2
Honolulu International,PHNL,-2,69,69,1,1
Honolulu International,PHNL,-1,70,70,3,3
Honolulu International,PHNL,0,38,38,1,1
Houston Hobby,KHOU,-3,87,87,0,0
Houston Hobby,KHOU,-2,67,67,0,0
Houston Hobby,KHOU,-1,48,48,0,0
Houston Hobby,KHOU,0,67,67,2,2
Washington Dulles International,KIAD,-3,180,180,1,1
Washington Dulles International,KIAD,-2,349,349,7,7
Washington Dulles International,KIAD,-1,141,141,8,8
Washington Dulles International,KIAD,0,174,174,6,6
George Bush Houston Intercontinental,KIAH,-3,436,436,4,4
George Bush Houston Intercontinental,KIAH,-2,222,222,3,3
George Bush Houston Intercontinental,KIAH,-1,177,177,4,4
George Bush Houston Intercontinental,KIAH,0,349,349,18,18
Indianapolis International,KIND,-3,69,69,0,0
Indianapolis International,KIND,-2,88,88,5,5
Indianapolis International,KIND,-1,41,41,1,1
Indianapolis International,KIND,0,89,89,10,10
John F. Kennedy International,KJFK,-3,338,338,11,11
John F. Kennedy International,KJFK,-2,293,293,13,13
John F. Kennedy International,KJFK,-1,217,217,9,9
John F. Kennedy International,KJFK,0,261,261,10,10
Las Vegas Reid International,KLAS,-3,219,219,3,3
Las Vegas Reid International,KLAS,-2,226,226,2,2
Las Vegas Reid International,KLAS,-1,120,120,2,2
Las Vegas Reid International,KLAS,0,253,253,2,2
Los Angeles International,KLAX,-3,241,241,6,6
Los Angeles International,KLAX,-2,273,273,11,11
Los Angeles International,KLAX,-1,218,218,9,9
Los Angeles International,KLAX,0,238,238,10,10
LaGuardia Airport,KLGA,-3,569,569,0,0
LaGuardia Airport,KLGA,-2,471,471,21,21
