name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Anchorage International,PANC,-3,99,99,2,2
Anchorage International,PANC,-2,78,78,6,6
Anchorage International,PANC,-1,109,109,1,1
Anchorage International,PANC,0,57,57,3,3
Hartsfield-Jackson Atlanta International,KATL,-3,257,257,4,4
Hartsfield-Jackson Atlanta International,KATL,-2,165,165,3,3
Hartsfield-Jackson Atlanta International,KATL,-1,171,171,7,7
Hartsfield-Jackson Atlanta International,KATL,0,318,318,13,13
Boston Logan International,KBOS,-3,143,143,5,5
Boston Logan International,KBOS,-2,92,92,2,2
Boston Logan International,KBOS,-1,101,101,2,2
Boston Logan International,KBOS,0,102,102,1,1
Baltimore-Washington International Marshall,KBWI,-3,37,37,0,0
Baltimore-Washington International Marshall,KBWI,-2,48,48,0,0
Baltimore-Washington International Marshall,KBWI,-1,32,32,0,0
Baltimore-Washington International Marshall,KBWI,0,65,65,5,5
Charlotte Douglas International,KCLT,-3,124,124,2,2
Charlotte Douglas International,KCLT,-2,75,75,0,0
Charlotte Douglas International,KCLT,-1,77,77,0,0
Charlotte Douglas International,KCLT,0,209,209,2,2
Cincinnati/Northern Kentucky International,KCVG,-3,33,33,2,2
Cincinnati/Northern Kentucky International,KCVG,-2,59,59,0,0
Cincinnati/Northern Kentucky International,KCVG,-1,30,30,0,0
Cincinnati/Northern Kentucky International,KCVG,0,36,36,2,2
Dallas Love Field,KDAL,-3,49,49,0,0
Dallas Love Field,KDAL,-2,60,60,0,0
Dallas Love Field,KDAL,-1,54,54,0,0
Dallas Love Field,KDAL,0,208,208,60,60
Reagan National,KDCA,-3,178,178,2,2
Reagan National,KDCA,-2,182,182,0,0
Reagan National,KDCA,-1,175,175,1,1
Reagan National,KDCA,0,156,156,4,4
Denver International,KDEN,-3,221,221,4,4
Denver International,KDEN,-2,162,162,0,0
Denver International,KDEN,-1,152,152,1,1
Denver International,KDEN,0,216,216,14,14
Dallas-Fort Worth International,KDFW,-3,259,259,3,3
Dallas-Fort Worth International,KDFW,-2,220,220,1,1
Dallas-Fort Worth International,KDFW,-1,327,327,0,0
Dallas-Fort Worth International,KDFW,0,781,781,606,606
Detroit Metropolitan Wayne County,KDTW,-3,118,118,2,2
Detroit Metropolitan Wayne County,KDTW,-2,127,127,2,2
Detroit Metropolitan Wayne County,KDTW,-1,60,60,1,1
Detroit Metropolitan Wayne County,KDTW,0,93,93,5,5
Newark Liberty International,KEWR,-3,187,187,6,6
Newark Liberty International,KEWR,-2,123,123,1,1
Newark Liberty International,KEWR,-1,108,108,4,4
Newark Liberty International,KEWR,0,196,196,7,7
Fort Lauderdale-Hollywood International,KFLL,-3,110,110,1,1
Fort Lauderdale-Hollywood International,KFLL,-2,49,49,2,2
Fort Lauderdale-Hollywood International,KFLL,-1,53,53,2,2
Fort Lauderdale-Hollywood International,KFLL,0,94,94,7,7
Honolulu International,PHNL,-3,65,65,5,5
Honolulu International,PHNL,-2,58,58,0,0
Honolulu International,PHNL,-1,53,53,0,0
Honolulu International,PHNL,0,35,35,0,0
Houston Hobby,KHOU,-3,26,26,0,0
Houston Hobby,KHOU,-2,37,37,0,0
Houston Hobby,KHOU,-1,38,38,0,0
Houston Hobby,KHOU,0,87,87,11,11
Washington Dulles International,KIAD,-3,110,110,4,4
Washington Dulles International,KIAD,-2,83,83,2,2
Washington Dulles International,KIAD,-1,95,95,0,0
Washington Dulles International,KIAD,0,115,115,2,2
George Bush Houston Intercontinental,KIAH,-3,130,130,4,4
George Bush Houston Intercontinental,KIAH,-2,113,113,4,4
George Bush Houston Intercontinental,KIAH,-1,114,114,9,9
George Bush Houston Intercontinental,KIAH,0,197,197,18,18
Indianapolis International,KIND,-3,48,48,1,1
Indianapolis International,KIND,-2,31,31,2,2
Indianapolis International,KIND,-1,28,28,2,2
Indianapolis International,KIND,0,36,36,4,4
