icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,27137,10645,1380,903
,All,-2,23229,6806,1025,455
,All,-1,20712,4715,940,139
,All,0,16528,2839,907,128
PANC,Anchorage International,-3,83,83,4,4
PANC,Anchorage International,-2,94,94,8,8
PANC,Anchorage International,-1,75,75,13,13
PANC,Anchorage International,0,48,48,6,6
KATL,Hartsfield-Jackson Atlanta International,-3,1532,1532,269,269
KATL,Hartsfield-Jackson Atlanta International,-2,756,756,149,149
KATL,Hartsfield-Jackson Atlanta International,-1,451,451,7,7
KATL,Hartsfield-Jackson Atlanta International,0,209,209,26,26
KBOS,Boston Logan International,-3,320,320,10,10
KBWI,Baltimore-Washington International Marshall,-2,101,101,4,4
KBWI,Baltimore-Washington International Marshall,-1,67,67,0,0
KBWI,Baltimore-Washington International Marshall,0,47,47,1,1
KCLT,Charlotte Douglas International,-3,797,797,58,58
KCLT,Charlotte Douglas International,-2,403,403,36,36
KCLT,Charlotte Douglas International,-1,211,211,6,6
KCLT,Charlotte Douglas International,0,90,90,0,0
KCVG,Cincinnati/Northern Kentucky International,-3,107,107,21,21
KCVG,Cincinnati/Northern Kentucky International,-2,80,80,6,6
KCVG,Cincinnati/Northern Kentucky International,-1,51,51,0,0
KCVG,Cincinnati/Northern Kentucky International,0,32,32,0,0
KDAL,Dallas Love Field,-3,121,121,3,3
KDAL,Dallas Love Field,-2,49,49,2,2
KDAL,Dallas Love Field,-1,42,42,1,1
KDAL,Dallas Love Field,0,32,32,0,0
KDCA,Reagan National,-3,389,389,41,41
KDCA,Reagan National,-2,289,289,29,29
KDCA,Reagan National,-1,198,198,3,3
KDCA,Reagan National,0,195,195,2,2
KDEN,Denver International,-3,385,385,4,4
KDEN,Denver International,-2,261,261,10,10
KDEN,Denver International,-1,272,272,5,5
KDEN,Denver International,0,117,117,2,2
KDFW,Dallas-Fort Worth International,-3,826,826,13,13
KDFW,Dallas-Fort Worth International,-2,489,489,8,8
KDFW,Dallas-Fort Worth International,-1,363,363,1,1
KDFW,Dallas-Fort Worth International,0,189,189,3,3
KDTW,Detroit Metropolitan Wayne County,-3,540,540,32,32
KDTW,Detroit Metropolitan Wayne County,-2,241,241,27,27
KDTW,Detroit Metropolitan Wayne County,-1,393,393,2,2
KDTW,Detroit Metropolitan Wayne County,0,151,151,8,8
KEWR,Newark Liberty International,-3,344,344,12,12
KEWR,Newark Liberty International,-2,217,217,5,5
KEWR,Newark Liberty International,-1,168,168,2,2
KEWR,Newark Liberty International,0,105,105,6,6
KFLL,Fort Lauderdale-Hollywood International,-3,389,389,14,14
KFLL,Fort Lauderdale-Hollywood International,-2,209,209,16,16
KFLL,Fort Lauderdale-Hollywood International,-1,102,102,0,0
KFLL,Fort Lauderdale-Hollywood International,0,67,67,0,0
PHNL,Honolulu International,-3,81,81,1,1
PHNL,Honolulu International,-2,80,80,3,3
PHNL,Honolulu International,-1,50,50,3,3
PHNL,Honolulu International,0,20,20,0,0
KHOU,Houston Hobby,-3,94,94,3,3
KHOU,Houston Hobby,-2,40,40,0,0
KHOU,Houston Hobby,-1,26,26,1,1
KHOU,Houston Hobby,0,19,19,0,0
KIAD,Washington Dulles International,-3,213,213,9,9
KIAD,Washington Dulles International,-2,142,142,11,11
KIAD,Washington Dulles International,-1,113,113,3,3
