icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-2,23734,5195,1209,690
,All,-1,18441,4173,4583,4084
,All,0,3821,304,9978,9524
PANC,Anchorage International,-3,68,68,13,13
PANC,Anchorage International,-2,79,79,11,11
PANC,Anchorage International,-1,43,43,3,3
PANC,Anchorage International,0,8,8,4,4
KATL,Hartsfield-Jackson Atlanta International,-3,271,271,7,7
KATL,Hartsfield-Jackson Atlanta International,-2,275,275,35,35
KATL,Hartsfield-Jackson Atlanta International,-1,320,320,300,300
KATL,Hartsfield-Jackson Atlanta International,0,30,30,1035,1035
KBOS,Boston Logan International,-3,125,125,5,5
KBOS,Boston Logan International,-2,125,125,18,18
KBOS,Boston Logan International,-1,148,148,84,84
KBOS,Boston Logan International,0,7,7,692,692
KBWI,Baltimore-Washington International Marshall,-3,29,29,0,0
KBWI,Baltimore-Washington International Marshall,-2,47,47,4,4
KBWI,Baltimore-Washington International Marshall,-1,54,54,75,75
KBWI,Baltimore-Washington International Marshall,0,2,2,324,324
KCLT,Charlotte Douglas International,-3,145,145,1,1
KCLT,Charlotte Douglas International,-2,157,157,9,9
KCLT,Charlotte Douglas International,-1,132,132,459,459
KCLT,Charlotte Douglas International,0,8,8,1069,1069
KCVG,Cincinnati/Northern Kentucky International,-3,45,45,0,0
KCVG,Cincinnati/Northern Kentucky International,-2,56,56,4,4
KCVG,Cincinnati/Northern Kentucky International,-1,40,40,34,34
KCVG,Cincinnati/Northern Kentucky International,0,3,3,163,163
KDAL,Dallas Love Field,-3,27,27,0,0
KDAL,Dallas Love Field,-2,36,36,46,46
KDAL,Dallas Love Field,-1,27,27,194,194
KDAL,Dallas Love Field,0,1,1,246,246
KDCA,Reagan National,-3,148,148,3,3
KDCA,Reagan National,-2,176,176,16,16
KDCA,Reagan National,-1,102,102,142,142
KDCA,Reagan National,0,2,2,822,822
KDEN,Denver International,-3,230,230,3,3
KDEN,Denver International,-2,696,696,40,40
KDEN,Denver International,-1,363,363,172,172
KDEN,Denver International,0,1,1,218,218
KDFW,Dallas-Fort Worth International,-3,267,267,0,0
KDFW,Dallas-Fort Worth International,-2,420,420,176,176
KDFW,Dallas-Fort Worth International,-1,119,119,1482,1482
KDFW,Dallas-Fort Worth International,0,25,25,811,811
KDTW,Detroit Metropolitan Wayne County,-3,204,204,5,5
KDTW,Detroit Metropolitan Wayne County,-2,254,254,25,25
KDTW,Detroit Metropolitan Wayne County,-1,266,266,61,61
KDTW,Detroit Metropolitan Wayne County,0,5,5,198,198
KEWR,Newark Liberty International,-3,155,155,10,10
KEWR,Newark Liberty International,-2,159,159,18,18
KEWR,Newark Liberty International,-1,169,169,92,92
KEWR,Newark Liberty International,0,7,7,891,891
KFLL,Fort Lauderdale-Hollywood International,-3,133,133,0,0
KFLL,Fort Lauderdale-Hollywood International,-2,152,152,4,4
KFLL,Fort Lauderdale-Hollywood International,-1,147,147,94,94
KFLL,Fort Lauderdale-Hollywood International,0,1,1,274,274
PHNL,Honolulu International,-3,66,66,5,5
PHNL,Honolulu International,-2,129,129,5,5
PHNL,Honolulu International,-1,49,49,19,19
