icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-2,27141,10646,1380,903
,All,-1,22523,6339,1021,451
,All,0,6334,439,412,40
PANC,Anchorage International,-3,88,88,9,9
PANC,Anchorage International,-2,83,83,4,4
PANC,Anchorage International,-1,91,91,8,8
PANC,Anchorage International,0,10,10,11,11
KATL,Hartsfield-Jackson Atlanta International,-3,404,404,16,16
KATL,Hartsfield-Jackson Atlanta International,-2,1532,1532,269,269
KATL,Hartsfield-Jackson Atlanta International,-1,714,714,148,148
KATL,Hartsfield-Jackson Atlanta International,0,27,27,0,0
KBOS,Boston Logan International,-3,152,152,6,6
KBOS,Boston Logan International,-2,320,320,10,10
KBOS,Boston Logan International,-1,175,175,9,9
KBOS,Boston Logan International,0,5,5,1,1
KBWI,Baltimore-Washington International Marshall,-3,88,88,0,0
KBWI,Baltimore-Washington International Marshall,-2,195,195,3,3
KBWI,Baltimore-Washington International Marshall,-1,93,93,4,4
KBWI,Baltimore-Washington International Marshall,0,7,7,0,0
KCLT,Charlotte Douglas International,-3,418,418,28,28
KCLT,Charlotte Douglas International,-2,797,797,58,58
KCLT,Charlotte Douglas International,-1,388,388,36,36
KCLT,Charlotte Douglas International,0,7,7,2,2
KCVG,Cincinnati/Northern Kentucky International,-3,42,42,0,0
KCVG,Cincinnati/Northern Kentucky International,-2,107,107,21,21
KCVG,Cincinnati/Northern Kentucky International,-1,70,70,6,6
KCVG,Cincinnati/Northern Kentucky International,0,2,2,0,0
KDAL,Dallas Love Field,-3,52,52,0,0
KDAL,Dallas Love Field,-2,121,121,3,3
KDAL,Dallas Love Field,-1,46,46,2,2
KDAL,Dallas Love Field,0,3,3,0,0
KDCA,Reagan National,-3,180,180,31,31
KDCA,Reagan National,-2,389,389,41,41
KDCA,Reagan National,-1,267,267,29,29
KDCA,Reagan National,0,12,12,3,3
KDEN,Denver International,-3,286,286,7,7
KDEN,Denver International,-2,386,386,4,4
KDEN,Denver International,-1,242,242,9,9
KDEN,Denver International,0,14,14,0,0
KDFW,Dallas-Fort Worth International,-3,630,630,11,11
KDFW,Dallas-Fort Worth International,-2,826,826,13,13
KDFW,Dallas-Fort Worth International,-1,452,452,8,8
KDFW,Dallas-Fort Worth International,0,12,12,0,0
KDTW,Detroit Metropolitan Wayne County,-3,167,167,4,4
KDTW,Detroit Metropolitan Wayne County,-2,540,540,32,32
KDTW,Detroit Metropolitan Wayne County,-1,223,223,27,27
KDTW,Detroit Metropolitan Wayne County,0,16,16,0,0
KEWR,Newark Liberty International,-3,198,198,1,1
KEWR,Newark Liberty International,-2,344,344,12,12
KEWR,Newark Liberty International,-1,207,207,5,5
KEWR,Newark Liberty International,0,7,7,0,0
KFLL,Fort Lauderdale-Hollywood International,-3,217,217,1,1
KFLL,Fort Lauderdale-Hollywood International,-2,389,389,14,14
KFLL,Fort Lauderdale-Hollywood International,-1,202,202,16,16
KFLL,Fort Lauderdale-Hollywood International,0,5,5,0,0
PHNL,Honolulu International,-3,70,70,3,3
PHNL,Honolulu International,-2,81,81,1,1
PHNL,Honolulu International,-1,62,62,3,3
PHNL,Honolulu International,0,12,12,1,1
KHOU,Houston Hobby,-3,48,48,0,0
KHOU,Houston Hobby,-2,94,94,3,3
KHOU,Houston Hobby,-1,40,40,0,0
KHOU,Houston Hobby,0,2,2,0,0
KIAD,Washington Dulles International,-3,140,140,8,8
KIAD,Washington Dulles International,-2,213,213,9,9
KIAD,Washington Dulles International,-1,136,136,11,11
KIAD,Washington Dulles International,0,11,11,1,1
KIAH,George Bush Houston Intercontinental,-3,177,177,4,4
KIAH,George Bush Houston Intercontinental,-2,484,484,22,22
KIAH,George Bush Houston Intercontinental,-1,187,187,4,4
KIAH,George Bush Houston Intercontinental,0,4,4,0,0
KIND,Indianapolis International,-3,41,41,1,1
KIND,Indianapolis International,-2,109,109,11,11
KIND,Indianapolis International,-1,50,50,1,1
KIND,Indianapolis International,0,1,1,0,0
KJFK,John F. Kennedy International,-3,217,217,9,9
KJFK,John F. Kennedy International,-2,337,337,13,13
KJFK,John F. Kennedy International,-1,246,246,11,11
KJFK,John F. Kennedy International,0,19,19,2,2
KLAS,Las Vegas Reid International,-3,120,120,2,2
KLAS,Las Vegas Reid International,-2,363,363,8,8
KLAS,Las Vegas Reid International,-1,162,162,6,6
KLAS,Las Vegas Reid International,0,8,8,0,0
KLAX,Los Angeles International,-3,218,218,9,9
KLAX,Los Angeles International,-2,374,374,17,17
KLAX,Los Angeles International,-1,243,243,24,24
KLAX,Los Angeles International,0,36,36,1,1
KLGA,LaGuardia Airport,-3,172,172,8,8
KLGA,LaGuardia Airport,-2,435,435,25,25
KLGA,LaGuardia Airport,-1,390,390,33,33
KLGA,LaGuardia Airport,0,2,2,1,1
KMCO,Orlando International,-3,284,284,2,2
KMCO,Orlando International,-2,541,541,33,33
KMCO,Orlando International,-1,284,284,26,26
KMCO,Orlando International,0,11,11,0,0
KMDW,Chicago Midway,-3,132,132,0,0
KMDW,Chicago Midway,-2,192,192,3,3
KMDW,Chicago Midway,-1,60,60,5,5
KMDW,Chicago Midway,0,1,1,0,0
KMEM,Memphis International,-3,25,25,0,0
KMEM,Memphis International,-2,86,86,8,8
KMEM,Memphis International,-1,39,39,1,1
KMEM,Memphis International,0,5,5,0,0
KMIA,Miami International,-3,255,255,7,7
KMIA,Miami International,-2,385,385,19,19
KMIA,Miami International,-1,296,296,7,7
KMIA,Miami International,0,24,24,0,0
KMSP,Minneapolis/St. Paul International,-3,177,177,5,5
KMSP,Minneapolis/St. Paul International,-2,270,270,20,20
KMSP,Minneapolis/St. Paul International,-1,441,441,29,29
KMSP,Minneapolis/St. Paul International,0,6,6,3,3
KOAK,Oakland International,-3,23,23,0,0
KOAK,Oakland International,-2,39,39,0,0
KOAK,Oakland International,-1,18,18,0,0
