icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,24756,6075,1118,263
,All,-2,20654,5029,768,140
,All,-1,23221,6656,1220,531
,All,0,3855,356,589,75
PANC,Anchorage International,-3,76,76,19,19
PANC,Anchorage International,-2,80,80,9,9
PANC,Anchorage International,-1,50,50,10,10
PANC,Anchorage International,0,17,17,0,0
KATL,Hartsfield-Jackson Atlanta International,-3,322,322,8,8
KATL,Hartsfield-Jackson Atlanta International,-2,314,314,15,15
KATL,Hartsfield-Jackson Atlanta International,-1,375,375,15,15
KATL,Hartsfield-Jackson Atlanta International,0,29,29,2,2
KBOS,Boston Logan International,-3,147,147,8,8
KBOS,Boston Logan International,-2,174,174,12,12
KBOS,Boston Logan International,-1,322,322,29,29
KBOS,Boston Logan International,0,14,14,13,13
KBWI,Baltimore-Washington International Marshall,-3,62,62,2,2
KBWI,Baltimore-Washington International Marshall,-2,116,116,0,0
KBWI,Baltimore-Washington International Marshall,-1,121,121,0,0
KBWI,Baltimore-Washington International Marshall,0,3,3,0,0
KCLT,Charlotte Douglas International,-3,204,204,6,6
KCLT,Charlotte Douglas International,-2,216,216,2,2
KCLT,Charlotte Douglas International,-1,299,299,15,15
KCLT,Charlotte Douglas International,0,3,3,1,1
KCVG,Cincinnati/Northern Kentucky International,-3,58,58,3,3
KCVG,Cincinnati/Northern Kentucky International,-2,44,44,2,2
KCVG,Cincinnati/Northern Kentucky International,-1,80,80,10,10
KCVG,Cincinnati/Northern Kentucky International,0,0,0,1,1
KDAL,Dallas Love Field,-3,55,55,0,0
KDAL,Dallas Love Field,-2,41,41,0,0
KDAL,Dallas Love Field,-1,48,48,0,0
KDAL,Dallas Love Field,0,3,3,0,0
KDCA,Reagan National,-3,227,227,10,10
KDCA,Reagan National,-2,175,175,1,1
KDCA,Reagan National,-1,278,278,12,12
KDCA,Reagan National,0,4,4,0,0
KDEN,Denver International,-3,419,419,25,25
KDEN,Denver International,-2,195,195,5,5
KDEN,Denver International,-1,238,238,23,23
KDEN,Denver International,0,3,3,1,1
KDFW,Dallas-Fort Worth International,-3,381,381,6,6
KDFW,Dallas-Fort Worth International,-2,316,316,6,6
KDFW,Dallas-Fort Worth International,-1,380,380,6,6
KDFW,Dallas-Fort Worth International,0,4,4,1,1
KDTW,Detroit Metropolitan Wayne County,-3,375,375,3,3
KDTW,Detroit Metropolitan Wayne County,-2,207,207,5,5
KDTW,Detroit Metropolitan Wayne County,-1,249,249,22,22
KDTW,Detroit Metropolitan Wayne County,0,4,4,3,3
KEWR,Newark Liberty International,-3,166,166,11,11
KEWR,Newark Liberty International,-2,293,293,1,1
KEWR,Newark Liberty International,-1,580,580,18,18
KEWR,Newark Liberty International,0,20,20,3,3
KFLL,Fort Lauderdale-Hollywood International,-3,183,183,6,6
KFLL,Fort Lauderdale-Hollywood International,-2,235,235,0,0
KFLL,Fort Lauderdale-Hollywood International,-1,406,406,9,9
KFLL,Fort Lauderdale-Hollywood International,0,4,4,6,6
PHNL,Honolulu International,-3,135,135,1,1
PHNL,Honolulu International,-2,62,62,3,3
PHNL,Honolulu International,-1,39,39,4,4
PHNL,Honolulu International,0,9,9,3,3
KHOU,Houston Hobby,-3,27,27,0,0
KHOU,Houston Hobby,-2,33,33,0,0
KHOU,Houston Hobby,-1,16,16,0,0
KHOU,Houston Hobby,0,0,0,0,0
KIAD,Washington Dulles International,-3,108,108,3,3
KIAD,Washington Dulles International,-2,122,122,3,3
KIAD,Washington Dulles International,-1,147,147,7,7
KIAD,Washington Dulles International,0,9,9,1,1
KIAH,George Bush Houston Intercontinental,-3,127,127,6,6
KIAH,George Bush Houston Intercontinental,-2,170,170,1,1
KIAH,George Bush Houston Intercontinental,-1,130,130,3,3
KIAH,George Bush Houston Intercontinental,0,6,6,1,1
KIND,Indianapolis International,-3,60,60,4,4
KIND,Indianapolis International,-2,47,47,2,2
KIND,Indianapolis International,-1,64,64,8,8
KIND,Indianapolis International,0,0,0,0,0
KJFK,John F. Kennedy International,-3,200,200,4,4
KJFK,John F. Kennedy International,-2,357,357,3,3
KJFK,John F. Kennedy International,-1,456,456,144,144
KJFK,John F. Kennedy International,0,25,25,3,3
KLAS,Las Vegas Reid International,-3,149,149,8,8
KLAS,Las Vegas Reid International,-2,107,107,0,0
KLAS,Las Vegas Reid International,-1,131,131,2,2
KLAS,Las Vegas Reid International,0,7,7,1,1
KLAX,Los Angeles International,-3,237,237,14,14
KLAX,Los Angeles International,-2,200,200,4,4
KLAX,Los Angeles International,-1,212,212,11,11
KLAX,Los Angeles International,0,26,26,4,4
KLGA,LaGuardia Airport,-3,168,168,9,9
KLGA,LaGuardia Airport,-2,206,206,3,3
KLGA,LaGuardia Airport,-1,401,401,168,168
KLGA,LaGuardia Airport,0,1,1,12,12
KMCO,Orlando International,-3,246,246,12,12
KMCO,Orlando International,-2,287,287,1,1
KMCO,Orlando International,-1,504,504,12,12
KMCO,Orlando International,0,6,6,3,3
KMDW,Chicago Midway,-3,81,81,0,0
KMDW,Chicago Midway,-2,60,60,0,0
KMDW,Chicago Midway,-1,80,80,0,0
KMDW,Chicago Midway,0,1,1,0,0
KMEM,Memphis International,-3,34,34,0,0
KMEM,Memphis International,-2,15,15,2,2
KMEM,Memphis International,-1,27,27,2,2
KMEM,Memphis International,0,0,0,0,0
KMIA,Miami International,-3,204,204,7,7
KMIA,Miami International,-2,238,238,7,7
KMIA,Miami International,-1,387,387,14,14
KMIA,Miami International,0,9,9,4,4
KMSP,Minneapolis/St. Paul International,-3,364,364,11,11
KMSP,Minneapolis/St. Paul International,-2,197,197,4,4
KMSP,Minneapolis/St. Paul International,-1,301,301,14,14
KMSP,Minneapolis/St. Paul International,0,10,10,1,1
KOAK,Oakland International,-3,34,34,1,1
KOAK,Oakland International,-2,11,11,0,0
KOAK,Oakland International,-1,12,12,0,0
KOAK,Oakland International,0,0,0,0,0
KONT,Ontario International,-3,24,24,0,0
KONT,Ontario International,-2,9,9,0,0
KONT,Ontario International,-1,10,10,0,0
KONT,Ontario International,0,0,0,0,0
KORD,Chicago O'Hare International,-3,1230,1230,12,12
KORD,Chicago O'Hare International,-2,548,548,5,5
KORD,Chicago O'Hare International,-1,758,758,19,19
KORD,Chicago O'Hare International,0,15,15,3,3
KPDX,Portland International,-3,67,67,3,3
KPDX,Portland International,-2,34,34,4,4
KPDX,Portland International,-1,36,36,2,2
KPDX,Portland International,0,1,1,1,1
KPHL,Philadelphia International,-3,106,106,6,6
KPHL,Philadelphia International,-2,187,187,4,4
KPHL,Philadelphia International,-1,392,392,7,7
KPHL,Philadelphia International,0,8,8,0,0
KPHX,Phoenix Sky Harbor International,-3,242,242,6,6
KPHX,Phoenix Sky Harbor International,-2,149,149,4,4
KPHX,Phoenix Sky Harbor International,-1,175,175,6,6
KPHX,Phoenix Sky Harbor International,0,10,10,1,1
KSAN,San Diego International,-3,111,111,12,12
KSAN,San Diego International,-2,65,65,2,2
KSAN,San Diego International,-1,69,69,2,2
KSAN,San Diego International,0,4,4,0,0
KSDF,Louisville International,-3,33,33,0,0
KSDF,Louisville International,-2,14,14,1,1
KSDF,Louisville International,-1,27,27,1,1
KSDF,Louisville International,0,0,0,0,0
KSEA,Seattle-Tacoma International,-3,175,175,13,13
KSEA,Seattle-Tacoma International,-2,119,119,12,12
KSEA,Seattle-Tacoma International,-1,120,120,19,19
KSEA,Seattle-Tacoma International,0,4,4,6,6
KSFO,San Francisco International,-3,160,160,7,7
KSFO,San Francisco International,-2,136,136,12,12
KSFO,San Francisco International,-1,133,133,9,9
KSFO,San Francisco International,0,19,19,3,3
KSLC,Salt Lake City International,-3,172,172,5,5
KSLC,Salt Lake City International,-2,55,55,5,5
KSLC,Salt Lake City International,-1,97,97,4,4
KSLC,Salt Lake City International,0,2,2,0,0
KTEB,Teterboro,-3,0,0,0,0
KTEB,Teterboro,-2,0,0,0,0
KTEB,Teterboro,-1,0,0,0,0
KTEB,Teterboro,0,0,0,0,0
KTPA,Tampa International,-3,105,105,1,1
KTPA,Tampa International,-2,96,96,0,0
KTPA,Tampa International,-1,155,155,0,0
KTPA,Tampa International,0,5,5,0,0
