icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,28632,13054,1465,1029
,All,-2,28434,10034,1087,599
,All,-1,24196,8782,915,281
,All,0,21592,6014,673,104
PANC,Anchorage International,-3,76,76,3,3
PANC,Anchorage International,-2,102,102,12,12
PANC,Anchorage International,-1,62,62,10,10
PANC,Anchorage International,0,74,74,4,4
KATL,Hartsfield-Jackson Atlanta International,-3,1009,1009,41,41
KATL,Hartsfield-Jackson Atlanta International,-2,825,825,36,36
KATL,Hartsfield-Jackson Atlanta International,-1,636,636,14,14
KATL,Hartsfield-Jackson Atlanta International,0,350,350,2,2
KBOS,Boston Logan International,-3,494,494,68,68
KBOS,Boston Logan International,-2,293,293,8,8
KBOS,Boston Logan International,-1,430,430,27,27
KBOS,Boston Logan International,0,188,188,2,2
KBWI,Baltimore-Washington International Marshall,-3,332,332,8,8
KBWI,Baltimore-Washington International Marshall,-2,175,175,0,0
KBWI,Baltimore-Washington International Marshall,-1,165,165,4,4
KBWI,Baltimore-Washington International Marshall,0,101,101,0,0
KCLT,Charlotte Douglas International,-3,626,626,16,16
KCLT,Charlotte Douglas International,-2,444,444,2,2
KCLT,Charlotte Douglas International,-1,465,465,6,6
KCLT,Charlotte Douglas International,0,153,153,2,2
KCVG,Cincinnati/Northern Kentucky International,-3,141,141,10,10
KCVG,Cincinnati/Northern Kentucky International,-2,116,116,8,8
KCVG,Cincinnati/Northern Kentucky International,-1,127,127,2,2
KCVG,Cincinnati/Northern Kentucky International,0,59,59,0,0
KDAL,Dallas Love Field,-3,209,209,1,1
KDAL,Dallas Love Field,-2,156,156,4,4
KDAL,Dallas Love Field,-1,79,79,0,0
KDAL,Dallas Love Field,0,107,107,1,1
KDCA,Reagan National,-3,494,494,22,22
KDCA,Reagan National,-2,353,353,8,8
KDCA,Reagan National,-1,502,502,15,15
KDCA,Reagan National,0,222,222,8,8
KDEN,Denver International,-3,929,929,23,23
KDEN,Denver International,-2,590,590,8,8
KDEN,Denver International,-1,460,460,4,4
KDEN,Denver International,0,1018,1018,11,11
KDFW,Dallas-Fort Worth International,-3,911,911,21,21
KDFW,Dallas-Fort Worth International,-2,861,861,30,30
KDFW,Dallas-Fort Worth International,-1,555,555,6,6
KDFW,Dallas-Fort Worth International,0,424,424,3,3
KDTW,Detroit Metropolitan Wayne County,-3,507,507,73,73
KDTW,Detroit Metropolitan Wayne County,-2,385,385,34,34
KDTW,Detroit Metropolitan Wayne County,-1,410,410,23,23
KDTW,Detroit Metropolitan Wayne County,0,279,279,1,1
KEWR,Newark Liberty International,-3,547,547,37,37
KEWR,Newark Liberty International,-2,317,317,11,11
KEWR,Newark Liberty International,-1,461,461,10,10
KEWR,Newark Liberty International,0,181,181,4,4
KFLL,Fort Lauderdale-Hollywood International,-3,373,373,54,54
KFLL,Fort Lauderdale-Hollywood International,-2,285,285,9,9
KFLL,Fort Lauderdale-Hollywood International,-1,203,203,4,4
KFLL,Fort Lauderdale-Hollywood International,0,100,100,0,0
PHNL,Honolulu International,-3,125,125,4,4
PHNL,Honolulu International,-2,85,85,1,1
PHNL,Honolulu International,-1,100,100,2,2
PHNL,Honolulu International,0,68,68,0,0
KHOU,Houston Hobby,-3,156,156,3,3
KHOU,Houston Hobby,-2,129,129,2,2
KHOU,Houston Hobby,-1,63,63,0,0
KHOU,Houston Hobby,0,73,73,1,1
KIAD,Washington Dulles International,-3,305,305,6,6
KIAD,Washington Dulles International,-2,202,202,16,16
KIAD,Washington Dulles International,-1,227,227,8,8
KIAD,Washington Dulles International,0,118,118,0,0
KIAH,George Bush Houston Intercontinental,-3,525,525,8,8
KIAH,George Bush Houston Intercontinental,-2,464,464,10,10
KIAH,George Bush Houston Intercontinental,-1,252,252,2,2
KIAH,George Bush Houston Intercontinental,0,250,250,4,4
KIND,Indianapolis International,-3,182,182,15,15
KIND,Indianapolis International,-2,168,168,10,10
KIND,Indianapolis International,-1,117,117,7,7
KIND,Indianapolis International,0,48,48,1,1
KJFK,John F. Kennedy International,-3,495,495,82,82
KJFK,John F. Kennedy International,-2,360,360,28,28
KJFK,John F. Kennedy International,-1,378,378,17,17
KJFK,John F. Kennedy International,0,164,164,2,2
KLAS,Las Vegas Reid International,-3,409,409,13,13
KLAS,Las Vegas Reid International,-2,312,312,5,5
KLAS,Las Vegas Reid International,-1,211,211,1,1
KLAS,Las Vegas Reid International,0,140,140,0,0
KLAX,Los Angeles International,-3,577,577,30,30
KLAX,Los Angeles International,-2,397,397,8,8
KLAX,Los Angeles International,-1,294,294,10,10
KLAX,Los Angeles International,0,222,222,4,4
KLGA,LaGuardia Airport,-3,504,504,29,29
KLGA,LaGuardia Airport,-2,481,481,27,27
KLGA,LaGuardia Airport,-1,633,633,25,25
KLGA,LaGuardia Airport,0,275,275,0,0
KMCO,Orlando International,-3,483,483,29,29
KMCO,Orlando International,-2,370,370,2,2
KMCO,Orlando International,-1,279,279,2,2
KMCO,Orlando International,0,142,142,0,0
KMDW,Chicago Midway,-3,307,307,11,11
KMDW,Chicago Midway,-2,220,220,3,3
KMDW,Chicago Midway,-1,129,129,0,0
KMDW,Chicago Midway,0,140,140,0,0
KMEM,Memphis International,-3,91,91,8,8
KMEM,Memphis International,-2,83,83,6,6
KMEM,Memphis International,-1,39,39,2,2
KMEM,Memphis International,0,47,47,0,0
KMSP,Minneapolis/St. Paul International,-1,311,311,4,4
KMSP,Minneapolis/St. Paul International,0,177,177,1,1
KOAK,Oakland International,-3,99,99,1,1
KOAK,Oakland International,-2,63,63,1,1
KOAK,Oakland International,-1,47,47,0,0
KOAK,Oakland International,0,27,27,0,0
KONT,Ontario International,-3,67,67,1,1
KONT,Ontario International,-2,45,45,0,0
KONT,Ontario International,-1,32,32,1,1
KONT,Ontario International,0,42,42,4,4
KORD,Chicago O'Hare International,-3,1922,1922,504,504
KORD,Chicago O'Hare International,-2,1413,1413,342,342
KORD,Chicago O'Hare International,-1,1387,1387,84,84
KORD,Chicago O'Hare International,0,1199,1199,20,20
KPDX,Portland International,-3,123,123,4,4
