name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Anchorage International,PANC,-3,89,89,12,12
Anchorage International,PANC,-2,52,52,14,14
Anchorage International,PANC,-1,69,69,6,6
Anchorage International,PANC,0,47,47,12,12
Hartsfield-Jackson Atlanta International,KATL,-3,460,460,14,14
Hartsfield-Jackson Atlanta International,KATL,-2,205,205,6,6
Hartsfield-Jackson Atlanta International,KATL,-1,215,215,6,6
Hartsfield-Jackson Atlanta International,KATL,0,202,202,7,7
Boston Logan International,KBOS,-3,524,524,26,26
Boston Logan International,KBOS,-2,101,101,4,4
Boston Logan International,KBOS,-1,105,105,5,5
Boston Logan International,KBOS,0,98,98,5,5
Baltimore-Washington International Marshall,KBWI,-3,96,96,0,0
Baltimore-Washington International Marshall,KBWI,-2,47,47,0,0
Baltimore-Washington International Marshall,KBWI,-1,26,26,0,0
Baltimore-Washington International Marshall,KBWI,0,21,21,0,0
Charlotte Douglas International,KCLT,-3,275,275,3,3
Charlotte Douglas International,KCLT,-2,106,106,0,0
Charlotte Douglas International,KCLT,-1,99,99,3,3
Charlotte Douglas International,KCLT,0,114,114,0,0
Cincinnati/Northern Kentucky International,KCVG,-3,61,61,1,1
Cincinnati/Northern Kentucky International,KCVG,-2,35,35,1,1
Cincinnati/Northern Kentucky International,KCVG,-1,32,32,0,0
Cincinnati/Northern Kentucky International,KCVG,0,31,31,0,0
Dallas Love Field,KDAL,-3,63,63,0,0
Dallas Love Field,KDAL,-2,15,15,0,0
Dallas Love Field,KDAL,-1,16,16,1,1
Dallas Love Field,KDAL,0,14,14,0,0
Reagan National,KDCA,-3,290,290,2,2
Reagan National,KDCA,-2,159,159,4,4
Reagan National,KDCA,-1,151,151,4,4
Reagan National,KDCA,0,76,76,3,3
Denver International,KDEN,-3,348,348,5,5
Denver International,KDEN,-2,153,153,2,2
Denver International,KDEN,-1,126,126,3,3
Denver International,KDEN,0,140,140,3,3
Dallas-Fort Worth International,KDFW,-3,395,395,4,4
Dallas-Fort Worth International,KDFW,-2,222,222,1,1
Dallas-Fort Worth International,KDFW,-1,208,208,3,3
Dallas-Fort Worth International,KDFW,0,174,174,0,0
Detroit Metropolitan Wayne County,KDTW,-3,391,391,16,16
Detroit Metropolitan Wayne County,KDTW,-2,158,158,5,5
Detroit Metropolitan Wayne County,KDTW,-1,291,291,2,2
Detroit Metropolitan Wayne County,KDTW,0,151,151,5,5
Newark Liberty International,KEWR,-3,228,228,11,11
Newark Liberty International,KEWR,-2,108,108,3,3
Newark Liberty International,KEWR,-1,97,97,5,5
Newark Liberty International,KEWR,0,112,112,9,9
Fort Lauderdale-Hollywood International,KFLL,-3,270,270,8,8
Fort Lauderdale-Hollywood International,KFLL,-2,154,154,3,3
Fort Lauderdale-Hollywood International,KFLL,-1,71,71,4,4
Fort Lauderdale-Hollywood International,KFLL,0,98,98,0,0
Honolulu International,PHNL,-3,77,77,4,4
