icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,19855,4724,940,139
,All,-2,23749,5844,1279,193
,All,-1,26843,7631,1455,145
,All,0,26189,5412,1082,119
PANC,Anchorage International,-3,74,74,13,13
PANC,Anchorage International,-2,87,87,8,8
PANC,Anchorage International,-1,67,67,14,14
PANC,Anchorage International,0,84,84,17,17
KATL,Hartsfield-Jackson Atlanta International,-3,453,453,7,7
KATL,Hartsfield-Jackson Atlanta International,-2,370,370,31,31
KATL,Hartsfield-Jackson Atlanta International,-1,419,419,9,9
KATL,Hartsfield-Jackson Atlanta International,0,285,285,5,5
KBOS,Boston Logan International,-3,127,127,2,2
KBOS,Boston Logan International,-2,157,157,17,17
KBOS,Boston Logan International,-1,247,247,6,6
KBOS,Boston Logan International,0,186,186,0,0
KBWI,Baltimore-Washington International Marshall,-3,67,67,0,0
KBWI,Baltimore-Washington International Marshall,-2,80,80,1,1
KBWI,Baltimore-Washington International Marshall,-1,108,108,0,0
KBWI,Baltimore-Washington International Marshall,0,83,83,1,1
KCLT,Charlotte Douglas International,-3,211,211,6,6
KCLT,Charlotte Douglas International,-2,200,200,2,2
KCLT,Charlotte Douglas International,-1,330,330,0,0
KCLT,Charlotte Douglas International,0,172,172,1,1
KCVG,Cincinnati/Northern Kentucky International,-3,51,51,0,0
KCVG,Cincinnati/Northern Kentucky International,-2,74,74,0,0
KCVG,Cincinnati/Northern Kentucky International,-1,125,125,1,1
KCVG,Cincinnati/Northern Kentucky International,0,79,79,1,1
KDAL,Dallas Love Field,-3,42,42,1,1
KDAL,Dallas Love Field,-2,70,70,0,0
KDAL,Dallas Love Field,-1,79,79,0,0
KDAL,Dallas Love Field,0,63,63,0,0
KDCA,Reagan National,-3,199,199,3,3
KDCA,Reagan National,-2,326,326,6,6
KDCA,Reagan National,-1,306,306,4,4
KDCA,Reagan National,0,237,237,1,1
KDEN,Denver International,-3,272,272,5,5
KDEN,Denver International,-2,252,252,6,6
KDEN,Denver International,-1,932,932,2,2
KDEN,Denver International,0,465,465,3,3
KDFW,Dallas-Fort Worth International,-3,362,362,1,1
KDFW,Dallas-Fort Worth International,-2,346,346,3,3
KDFW,Dallas-Fort Worth International,-1,397,397,5,5
KDFW,Dallas-Fort Worth International,0,355,355,4,4
KDTW,Detroit Metropolitan Wayne County,-3,393,393,2,2
KDTW,Detroit Metropolitan Wayne County,-2,298,298,12,12
KDTW,Detroit Metropolitan Wayne County,-1,362,362,5,5
KDTW,Detroit Metropolitan Wayne County,0,211,211,2,2
KEWR,Newark Liberty International,-3,170,170,2,2
KEWR,Newark Liberty International,-2,283,283,12,12
KEWR,Newark Liberty International,-1,298,298,10,10
KEWR,Newark Liberty International,0,213,213,2,2
KFLL,Fort Lauderdale-Hollywood International,-3,102,102,0,0
