name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Philadelphia International,KPHL,-2,123,123,7,7
Philadelphia International,KPHL,-1,96,96,6,6
Philadelphia International,KPHL,0,0,0,1,1
Phoenix Sky Harbor International,KPHX,-3,148,148,4,4
Phoenix Sky Harbor International,KPHX,-2,135,135,10,10
Phoenix Sky Harbor International,KPHX,-1,232,232,6,6
Phoenix Sky Harbor International,KPHX,0,3,3,2,2
San Diego International,KSAN,-3,68,68,0,0
San Diego International,KSAN,-2,133,133,59,59
San Diego International,KSAN,-1,102,102,12,12
San Diego International,KSAN,0,0,0,1,1
Louisville International,KSDF,-3,41,41,1,1
Louisville International,KSDF,-2,19,19,0,0
Louisville International,KSDF,-1,28,28,0,0
Louisville International,KSDF,0,3,3,0,0
Seattle-Tacoma International,KSEA,-3,177,177,38,38
Seattle-Tacoma International,KSEA,-2,361,361,28,28
Seattle-Tacoma International,KSEA,-1,160,160,13,13
Seattle-Tacoma International,KSEA,0,10,10,3,3
San Francisco International,KSFO,-3,114,114,6,6
San Francisco International,KSFO,-2,161,161,11,11
San Francisco International,KSFO,-1,156,156,7,7
San Francisco International,KSFO,0,22,22,3,3
Salt Lake City International,KSLC,-3,85,85,5,5
Salt Lake City International,KSLC,-2,124,124,6,6
Salt Lake City International,KSLC,-1,168,168,5,5
Salt Lake City International,KSLC,0,0,0,2,2
Teterboro,KTEB,-3,0,0,0,0
Teterboro,KTEB,-2,0,0,0,0
Teterboro,KTEB,-1,0,0,0,0
Teterboro,KTEB,0,0,0,0,0
Tampa International,KTPA,-3,73,73,1,1
Tampa International,KTPA,-2,98,98,2,2
Tampa International,KTPA,-1,91,91,1,1
Tampa International,KTPA,0,4,4,0,0
