icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,26006,7284,874,284
,All,-2,33561,7422,1193,320
,All,-1,33245,8648,2221,1125
,All,0,14035,1259,929,226
PANC,Anchorage International,-3,51,51,9,9
PANC,Anchorage International,-2,86,86,11,11
PANC,Anchorage International,-1,72,72,14,14
PANC,Anchorage International,0,11,11,14,14
KATL,Hartsfield-Jackson Atlanta International,-3,309,309,9,9
KATL,Hartsfield-Jackson Atlanta International,-2,415,415,31,31
KATL,Hartsfield-Jackson Atlanta International,-1,549,549,92,92
KATL,Hartsfield-Jackson Atlanta International,0,69,69,47,47
KBOS,Boston Logan International,-3,359,359,29,29
KBOS,Boston Logan International,-2,267,267,25,25
KBOS,Boston Logan International,-1,321,321,55,55
KBOS,Boston Logan International,0,48,48,10,10
KBWI,Baltimore-Washington International Marshall,-3,126,126,7,7
KBWI,Baltimore-Washington International Marshall,-2,122,122,9,9
KBWI,Baltimore-Washington International Marshall,-1,164,164,21,21
KBWI,Baltimore-Washington International Marshall,0,37,37,3,3
KCLT,Charlotte Douglas International,-3,251,251,11,11
KCLT,Charlotte Douglas International,-2,251,251,11,11
KCLT,Charlotte Douglas International,-1,331,331,38,38
KCLT,Charlotte Douglas International,0,32,32,2,2
KCVG,Cincinnati/Northern Kentucky International,-3,47,47,2,2
KCVG,Cincinnati/Northern Kentucky International,-2,65,65,0,0
KCVG,Cincinnati/Northern Kentucky International,-1,67,67,4,4
KCVG,Cincinnati/Northern Kentucky International,0,4,4,0,0
KDAL,Dallas Love Field,-3,70,70,1,1
KDAL,Dallas Love Field,-2,61,61,0,0
KDAL,Dallas Love Field,-1,97,97,0,0
KDAL,Dallas Love Field,0,16,16,0,0
KDCA,Reagan National,-3,199,199,4,4
KDCA,Reagan National,-2,139,139,2,2
KDCA,Reagan National,-1,163,163,5,5
KDCA,Reagan National,0,22,22,0,0
KDEN,Denver International,-3,343,343,3,3
KDEN,Denver International,-2,338,338,5,5
KDEN,Denver International,-1,463,463,33,33
KDEN,Denver International,0,50,50,6,6
KDFW,Dallas-Fort Worth International,-3,353,353,9,9
KDFW,Dallas-Fort Worth International,-2,473,473,8,8
KDFW,Dallas-Fort Worth International,-1,507,507,28,28
KDFW,Dallas-Fort Worth International,0,86,86,10,10
KDTW,Detroit Metropolitan Wayne County,-3,298,298,9,9
KDTW,Detroit Metropolitan Wayne County,-2,292,292,19,19
KDTW,Detroit Metropolitan Wayne County,-1,293,293,32,32
