icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,23735,5196,1209,690
,All,-2,19505,4857,4626,4106
,All,-1,20994,5463,12535,11552
,All,0,4410,585,3873,3519
PANC,Anchorage International,-3,79,79,11,11
PANC,Anchorage International,-2,53,53,3,3
PANC,Anchorage International,-1,36,36,8,8
PANC,Anchorage International,0,19,19,6,6
KATL,Hartsfield-Jackson Atlanta International,-3,275,275,35,35
KATL,Hartsfield-Jackson Atlanta International,-2,368,368,301,301
KATL,Hartsfield-Jackson Atlanta International,-1,524,524,1198,1198
KATL,Hartsfield-Jackson Atlanta International,0,41,41,172,172
KBOS,Boston Logan International,-3,125,125,18,18
KBOS,Boston Logan International,-2,176,176,85,85
KBOS,Boston Logan International,-1,56,56,751,751
KBOS,Boston Logan International,0,29,29,500,500
KBWI,Baltimore-Washington International Marshall,-3,47,47,4,4
KBWI,Baltimore-Washington International Marshall,-2,67,67,75,75
KBWI,Baltimore-Washington International Marshall,-1,6,6,459,459
KBWI,Baltimore-Washington International Marshall,0,13,13,106,106
KCLT,Charlotte Douglas International,-3,157,157,9,9
KCLT,Charlotte Douglas International,-2,140,140,459,459
KCLT,Charlotte Douglas International,-1,124,124,1165,1165
KCLT,Charlotte Douglas International,0,11,11,346,346
KCVG,Cincinnati/Northern Kentucky International,-3,56,56,4,4
KCVG,Cincinnati/Northern Kentucky International,-2,40,40,34,34
KCVG,Cincinnati/Northern Kentucky International,-1,46,46,181,181
KCVG,Cincinnati/Northern Kentucky International,0,5,5,44,44
KDAL,Dallas Love Field,-3,36,36,46,46
KDAL,Dallas Love Field,-2,42,42,195,195
KDAL,Dallas Love Field,-1,66,66,261,261
KDAL,Dallas Love Field,0,15,15,81,81
KDCA,Reagan National,-3,176,176,16,16
KDCA,Reagan National,-2,100,100,143,143
KDCA,Reagan National,-1,11,11,841,841
KDCA,Reagan National,0,18,18,266,266
KDEN,Denver International,-3,696,696,40,40
KDEN,Denver International,-2,410,410,173,173
KDEN,Denver International,-1,668,668,309,309
KDEN,Denver International,0,25,25,68,68
KDFW,Dallas-Fort Worth International,-3,420,420,176,176
KDFW,Dallas-Fort Worth International,-2,148,148,1489,1489
KDFW,Dallas-Fort Worth International,-1,470,470,1284,1284
KDFW,Dallas-Fort Worth International,0,33,33,301,301
KDTW,Detroit Metropolitan Wayne County,-3,254,254,25,25
KDTW,Detroit Metropolitan Wayne County,-2,312,312,61,61
KDTW,Detroit Metropolitan Wayne County,-1,371,371,289,289
KDTW,Detroit Metropolitan Wayne County,0,18,18,81,81
KEWR,Newark Liberty International,-3,159,159,18,18
KEWR,Newark Liberty International,-2,190,190,95,95
KEWR,Newark Liberty International,-1,25,25,917,917
KEWR,Newark Liberty International,0,8,8,437,437
KFLL,Fort Lauderdale-Hollywood International,-3,152,152,4,4
KFLL,Fort Lauderdale-Hollywood International,-2,176,176,94,94
KFLL,Fort Lauderdale-Hollywood International,-1,163,163,317,317
KFLL,Fort Lauderdale-Hollywood International,0,11,11,96,96
PHNL,Honolulu International,-3,130,130,5,5
PHNL,Honolulu International,-2,58,58,21,21
PHNL,Honolulu International,-1,47,47,19,19
PHNL,Honolulu International,0,5,5,8,8
KHOU,Houston Hobby,-3,33,33,12,12
KHOU,Houston Hobby,-2,50,50,53,53
KHOU,Houston Hobby,-1,74,74,91,91
KHOU,Houston Hobby,0,13,13,22,22
KIAD,Washington Dulles International,-3,93,93,10,10
KIAD,Washington Dulles International,-2,95,95,87,87
KIAD,Washington Dulles International,-1,10,10,571,571
KIAD,Washington Dulles International,0,17,17,138,138
KIAH,George Bush Houston Intercontinental,-3,154,154,33,33
KIAH,George Bush Houston Intercontinental,-2,213,213,188,188
KIAH,George Bush Houston Intercontinental,-1,223,223,471,471
KIAH,George Bush Houston Intercontinental,0,5,5,68,68
KIND,Indianapolis International,-3,59,59,2,2
KIND,Indianapolis International,-2,76,76,32,32
KIND,Indianapolis International,-1,78,78,153,153
KIND,Indianapolis International,0,8,8,61,61
KJFK,John F. Kennedy International,-3,174,174,8,8
KJFK,John F. Kennedy International,-2,223,223,134,134
KJFK,John F. Kennedy International,-1,43,43,960,960
KJFK,John F. Kennedy International,0,40,40,438,438
KLAS,Las Vegas Reid International,-3,169,169,17,17
KLAS,Las Vegas Reid International,-2,192,192,73,73
KLAS,Las Vegas Reid International,-1,215,215,176,176
KLAS,Las Vegas Reid International,0,12,12,40,40
KLAX,Los Angeles International,-3,244,244,25,25
KLAX,Los Angeles International,-2,246,246,90,90
KLAX,Los Angeles International,-1,249,249,221,221
KMCO,Orlando International,-3,224,224,7,7
KMCO,Orlando International,-2,267,267,119,119
KMCO,Orlando International,-1,228,228,450,450
KMCO,Orlando International,0,17,17,121,121
